date,time,symbol,entry_price,current_price,high,low,stop_loss,target,status,days_held,pnl_pct
2025-12-09,09:32:58,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,09:32:58,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,09:43:49,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,09:43:49,CHOLAFIN.NS,32.00,32.00,34.70,16.35,0.00,36.00,OPEN,1,0.00
2025-12-09,09:43:49,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,09:43:49,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,09:48:27,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,09:48:27,CHOLAFIN.NS,32.00,32.00,34.70,16.35,0.00,36.00,OPEN,1,0.00
2025-12-09,09:48:27,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,09:48:27,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,10:00:51,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,10:00:51,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,1,-39.38
2025-12-09,10:00:51,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,10:00:51,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,10:13:28,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,10:13:28,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,1,-39.38
2025-12-09,10:13:28,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,10:13:28,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,10:18:49,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,10:18:49,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,1,-39.38
2025-12-09,10:18:49,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,10:18:49,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,18:45:16,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,18:45:16,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,1,-39.38
2025-12-09,18:45:16,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,18:45:16,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,18:54:04,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,18:54:04,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,1,-39.38
2025-12-09,18:54:04,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,18:54:04,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-09,19:00:53,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-09,19:00:53,CHOLAFIN.NS,32.00,19.40,34.70,16.35,0.00,36.00,OPEN,1,-39.38
2025-12-09,19:00:53,PGEL.NS,28.00,28.00,28.00,28.00,0.00,32.00,OPEN,0,0.00
2025-12-09,19:00:53,BANKNIFTY.NS,500.00,500.00,500.00,500.00,0.00,550.00,OPEN,0,0.00
2025-12-10,09:16:27,PGEL.NS,28.00,38.55,45.60,28.00,0.00,32.00,TARGET_HIT,0,14.08
2025-12-10,09:16:27,BANKNIFTY.NS,500.00,573.05,646.25,500.00,0.00,550.00,TARGET_HIT,0,9.77
2025-12-10,09:16:27,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-10,09:16:27,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,1,-32.66
2025-12-10,09:17:05,PGEL.NS,28.00,38.55,45.60,28.00,0.00,32.00,TARGET_HIT,0,14.08
2025-12-10,09:17:05,BANKNIFTY.NS,500.00,573.05,646.25,500.00,0.00,550.00,TARGET_HIT,0,9.77
2025-12-10,09:17:05,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
2025-12-10,09:17:05,CHOLAFIN.NS,32.00,21.55,34.70,11.65,0.00,36.00,OPEN,1,-32.66
2025-12-10,09:17:15,BANKNIFTY.NS,500.00,573.05,646.25,500.00,0.00,550.00,TARGET_HIT,0,9.77
2025-12-10,09:17:15,SENSEX.NS,540.00,540.00,540.00,540.00,0.00,590.00,OPEN,1,0.00
