ticker,company_name,listing_date,listing_price,current_price,num_shares,invested_amount,current_value,absolute_return,return_pct,days_held,years_held,cagr,xirr,status
APOLLOPIPE,Apollo Pipes Limited,2019-11-11,130.85374855673678,300.70001220703125,114.6317943921657,15000,34469.78197303812,19469.781973038123,129.79854648692083,2194,6.006844626967831,14.856591006749031,14.856591006418842,PROFIT
ACI,Archean Chemical Industries Limited,2022-11-21,443.5622430376924,634.4500122070312,33.81712541012052,15000,21455.27562925767,6455.2756292576705,43.0351708617178,1088,2.9787816563997263,12.767346477832199,12.767346476140466,PROFIT
AMNPLST,Amines & Plasticizers Limited,2023-11-10,162.72927433555597,201.74000549316406,92.17763712919437,15000,18595.917020790555,3595.9170207905554,23.972780138603703,734,2.0095824777549622,11.286033133167495,11.286033133166915,PROFIT
ADANIENSOL,Adani Energy Solutions Limited,2023-08-16,795.0,1001.9000244140625,18.867924528301888,15000,18903.77404554835,3903.774045548351,26.02516030365567,820,2.245037645448323,10.852721085628247,10.852721085628218,PROFIT
AARTECH,Aartech Solonics Limited,2023-07-10,43.29216382522327,51.16999816894531,346.48302774971404,15000,17729.535895523495,2729.535895523495,18.196905970156635,857,2.346338124572211,7.385201220853754,7.385201220334457,PROFIT
AEGISLOG,AEGISLOG,2024-05-30,730.5434902705008,799.7000122070312,20.532658492988418,15000,16419.96724748564,1419.9672474856416,9.466448316570943,532,1.4565366187542779,6.406654311765569,6.406654310979194,PROFIT
AWL,AWL Agri Business Limited,2022-02-08,227.0,272.8999938964844,66.07929515418502,15000,18033.039244261083,3033.039244261083,20.22026162840722,1374,3.761806981519507,5.017201069794508,5.017201069823179,PROFIT
BAJAJHCARE,Bajaj HealthCare Limited,2021-11-25,374.119987111152,449.20001220703125,40.094088839855175,15000,18010.26519629274,3010.265196292741,20.068434641951608,1449,3.9671457905544147,4.718077656487107,4.718077656596009,PROFIT
ABSLAMC,Aditya Birla Sun Life AMC Limited,2021-10-11,649.6085521295374,737.0499877929688,23.090829008988898,15000,17019.095239204795,2019.0952392047948,13.460634928031965,1494,4.090349075975359,3.1355626740089404,3.13556267986594,PROFIT
AWHCL,Antony Waste Handling Cell Limited,2021-01-01,436.1000061035156,491.45001220703125,34.395780302831504,15000,16903.806649696908,1903.8066496969077,12.692044331312719,1777,4.865160848733744,2.4864142315335958,2.4864142315344306,PROFIT
